State,red_lunch,NAEP_math,NAEP_reading
Alabama ....................,51.1,268,258
Alaska ..................,42.7,277,258
Arizona .....................,50.2,282,263
Arkansas ..................,63.6,274,260
California .................,58.9,277,263
Colorado ....................,41.8,286,270
Connecticut ...............,37.9,284,273
Delaware ..................,37.7,278,263
District of Columbia ........,76.4,266,247
Florida ..................,58.8,279,267
Georgia ............................,62.4,281,266
Hawaii .....................,49.6,277,261
Idaho ........................,46.9,284,270
Illinois .................,49.9,282,267
Indiana ....................,48.3,288,272
Iowa ........................,41.4,286,268
Kansas .....................,49.2,285,267
Kentucky .................,59.4,278,265
Louisiana ...................,61.3,267,257
Maine .....................,46.0,284,269
Maryland ....................,45.0,281,267
Massachusetts ..............,39.9,297,278
Michigan .....................,46.1,280,265
Minnesota ...................,38.1,294,269
Mississippi .............,74.9,271,256
Missouri ..................,50.1,281,266
Montana .....................,46.2,286,267
Nebraska ....................,44.2,288,269
Nevada ....................,58.8,275,260
New Hampshire ..................,28.3,293,275
New Jersey .................,37.6,292,275
New Mexico .................,71.7,269,256
New York ................,49.5,282,264
North Carolina ...........,57.4,282,263
North Dakota ................,29.9,288,265
Ohio .......................,44.9,288,268
Oklahoma ....................,62.2,275,261
Oregon ......................,51.4,282,266
Pennsylvania ...............,48.2,286,270
Rhode Island ..............,47.0,277,266
South Carolina .............,60.0,275,260
South Dakota .............,41.7,286,267
Tennessee ...............,58.8,279,262
Texas ....................,58.9,282,260
Utah ....................,36.4,287,269
Vermont ....................,38.4,288,273
Virginia ....................,41.2,290,268
Washington ..................,45.4,289,272
West Virginia ...........,49.4,273,259
Wisconsin ................,39.9,288,269
Wyoming ...................,37.5,289,269
